1A02: [['Q13469', 'P01100'], ['Q13469', 'P05412'], ['P01100', 'P05412']]
7Z6S: [['P68363', 'Q13509'], ['P68363', 'Q68EN5'], ['Q13509', 'Q68EN5']]
7Z87: [['P78527', 'P12956'], ['P78527', 'P13010'], ['P12956', 'P13010']]
7Z88: [['P78527', 'P12956'], ['P78527', 'P13010'], ['P12956', 'P13010']]
7Z8I: [['Q14204', 'Q13409'], ['Q14204', 'O43237'], ['Q13409', 'O43237']]
7Z8J: [['Q14204', 'Q13409'], ['Q14204', 'O43237'], ['Q13409', 'O43237']]
7Z8K: [['Q14204', 'O43237'], ['Q14204', 'Q13409'], ['O43237', 'Q13409']]
7Z8R: [['Q13616', 'Q86VP6'], ['Q13616', 'P62877'], ['Q86VP6', 'P62877']]
7ZAN: [['Q16552', 'Q96F46'], ['Q16552', 'Q8NAC3'], ['Q96F46', 'Q8NAC3']]
7ZBN: [['P13807', 'P13807'], ['P13807', 'P46976'], ['P13807', 'P46976']]
7ZEZ: [['Q9UNP9', 'Q03164'], ['Q9UNP9', 'Q6NXT2'], ['Q03164', 'Q6NXT2']]
7ZF1: [['Q9NVI1', 'Q9BXW9'], ['Q9NVI1', 'P62987'], ['Q9BXW9', 'P62987']]
7ZJ3: [['Q9C040', 'P51668'], ['Q9C040', 'P0CG48'], ['P51668', 'P0CG48']]
7ZJS: [['Q8N3U4', 'O60216'], ['Q8N3U4', 'Q5FBB7'], ['O60216', 'Q5FBB7']]
7ZJW: [['P57772', '436409'], ['P57772', 'Q96T21'], ['436409', 'Q96T21']]
7ZLM: [['O14508', 'Q15370'], ['O14508', 'Q15369'], ['Q15370', 'Q15369']]
7ZLN: [['O14508', 'Q15370'], ['O14508', 'Q15369'], ['Q15370', 'Q15369']]
7ZLO: [['O14508', 'Q15370'], ['O14508', 'Q15369'], ['Q15370', 'Q15369']]
7ZLP: [['O14508', 'Q15370'], ['O14508', 'Q15369'], ['Q15370', 'Q15369']]
7ZLR: [['O14508', 'Q15370'], ['O14508', 'Q15369'], ['Q15370', 'Q15369']]
7ZLS: [['O14508', 'Q15370'], ['O14508', 'Q15369'], ['Q15370', 'Q15369']]
7ZR0: [['P08238', 'Q16543'], ['P08238', 'P15056'], ['Q16543', 'P15056']]
7ZUB: [['P08238', 'O00170'], ['P08238', 'P35869'], ['O00170', 'P35869']]
7ZWA: [['P12956', 'P13010'], ['P12956', 'Q9BUH6'], ['P13010', 'Q9BUH6']]
8A0E: [['P49366', 'P63241'], ['P49366', 'P49366'], ['P63241', 'P49366']]
8A5W: [['Q9Y617', 'Q9Y617'], ['Q9Y617', 'Q9Y617'], ['Q9Y617', 'Q9Y617']]
8ACT: [['P12883', 'P08590'], ['P12883', 'P10916'], ['P08590', 'P10916']]
8AFZ: [['Q13596', 'Q9Y5X3'], ['Q13596', 'P11717'], ['Q9Y5X3', 'P11717']]
8AJM: [['Q16531', 'Q5T6F0'], ['Q16531', 'P48643'], ['Q5T6F0', 'P48643']]
8AJO: [['Q16531', 'Q5T6F0'], ['Q16531', 'P48643'], ['Q5T6F0', 'P48643']]
8ASC: [['P12956', 'P13010'], ['P12956', 'Q9BUH6'], ['P13010', 'Q9BUH6']]
8BBF: [['Q8NEZ3', 'Q96RY7'], ['Q8NEZ3', 'Q9HBG6'], ['Q96RY7', 'Q9HBG6']]
8BDL: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
8BDM: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
8BDN: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
8BDO: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
8BFI: [['A5YKK6', 'Q9H9A5'], ['A5YKK6', 'Q9UKZ1'], ['Q9H9A5', 'Q9UKZ1']]
8BGU: [['Q00987', 'P46777'], ['Q00987', 'P62913'], ['P46777', 'P62913']]
8BPB: [['O75182', 'Q92769'], ['O75182', 'Q96QT6'], ['Q92769', 'Q96QT6']]
8BPC: [['O75182', 'Q92769'], ['O75182', 'Q96QT6'], ['Q92769', 'Q96QT6']]
8BPF: [['P01871', 'O60667'], ['P01871', 'P01591'], ['O60667', 'P01591']]
8BPO: [['Q9BY12', 'Q8N0Z6'], ['Q9BY12', 'P07437'], ['Q8N0Z6', 'P07437']]
8BU1: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BU2: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BU3: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BU4: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BU5: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BU6: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BU7: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BU9: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUA: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUB: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUC: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUD: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUE: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUF: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUG: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUH: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUI: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUJ: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUK: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUL: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUM: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUN: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUP: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUQ: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUR: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUS: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BUT: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
8BZO: [['P24941', 'P20248'], ['P24941', 'O43806'], ['P20248', 'O43806']]
8C07: [['P0CG47', 'O95071'], ['P0CG47', 'P0CG47'], ['O95071', 'P0CG47']]
8C13: [['Q15370', 'P40337'], ['Q15370', 'Q15369'], ['P40337', 'Q15369']]
8C1C: [['P01854', 'P01834'], ['P01854', 'P12319'], ['P01834', 'P12319']]
8C7H: [['P01137', 'P01137'], ['P01137', 'Q14392'], ['P01137', 'Q14392']]
8CIA: [['Q9Y2M5', 'Q9Y2M5'], ['Q9Y2M5', 'Q9Y2M5'], ['Q9Y2M5', 'Q9Y2M5']]
8CLI: [['Q12789', 'Q9UKN8'], ['Q12789', 'Q8WUA4'], ['Q9UKN8', 'Q8WUA4']]
8CLJ: [['Q12789', 'Q9UKN8'], ['Q12789', 'Q8WUA4'], ['Q9UKN8', 'Q8WUA4']]
8CLL: [['Q12789', 'Q9UKN8'], ['Q12789', 'Q8WUA4'], ['Q9UKN8', 'Q8WUA4']]
8CQE: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
8CQK: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
8CQL: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
8D3U: [['P13637', 'P05026'], ['P13637', 'Q9H0Q3'], ['P05026', 'Q9H0Q3']]
8D3V: [['P13637', 'P05026'], ['P13637', 'Q9H0Q3'], ['P05026', 'Q9H0Q3']]
8D3W: [['P13637', 'P05026'], ['P13637', 'Q9H0Q3'], ['P05026', 'Q9H0Q3']]
8D3X: [['P05026', 'Q9H0Q3'], ['P05026', 'P13637'], ['Q9H0Q3', 'P13637']]
8D3Y: [['P13637', 'P05026'], ['P13637', 'Q9H0Q3'], ['P05026', 'Q9H0Q3']]
8D6A: [['P40189', 'P42702'], ['P40189', 'P15018'], ['P42702', 'P15018']]
8D7H: [['P26992', 'Q9UBD9'], ['P26992', 'O75462'], ['Q9UBD9', 'O75462']]
8D7Z: [['Q16531', 'Q96SW2'], ['Q16531', 'Q13422'], ['Q96SW2', 'Q13422']]
8D80: [['Q96SW2', 'Q16531'], ['Q96SW2', 'Q13422'], ['Q16531', 'Q13422']]
8D82: [['P40189', 'P08887'], ['P40189', 'P05231'], ['P08887', 'P05231']]
8DD2: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
8DD3: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
8DEY: [['Q96SW2', 'Q16531'], ['Q96SW2', 'Q9UKS7'], ['Q16531', 'Q9UKS7']]
8DGS: [['P15056', 'Q02750'], ['P15056', 'A0A6P5IP77'], ['Q02750', 'A0A6P5IP77']]
8DGT: [['P15056', 'Q02750'], ['P15056', 'A0A6P5IP77'], ['Q02750', 'A0A6P5IP77']]
8DMK: [['P19137', 'P07942'], ['P19137', 'P11047'], ['P07942', 'P11047']]
8DNV: [['P60059', 'P60468'], ['P60059', 'P61619'], ['P60468', 'P61619']]
8DNW: [['P60059', 'P60468'], ['P60059', 'P61619'], ['P60468', 'P61619']]
8DNX: [['P60059', 'P60468'], ['P60059', 'P61619'], ['P60468', 'P61619']]
8DNY: [['P61619', 'P60059'], ['P61619', 'P60468'], ['P60059', 'P60468']]
8DNZ: [['P60059', 'P60468'], ['P60059', 'P61619'], ['P60468', 'P61619']]
8DO0: [['P60059', 'P60468'], ['P60059', 'P61619'], ['P60468', 'P61619']]
8DO1: [['P61619', 'P60059'], ['P61619', 'P60468'], ['P60059', 'P60468']]
8DO2: [['P60059', 'P60468'], ['P60059', 'P61619'], ['P60468', 'P61619']]
8DO3: [['P60059', 'P60468'], ['P60059', 'P61619'], ['P60468', 'P61619']]
8DPF: [['P28335', 'P62873'], ['P28335', 'P59768'], ['P62873', 'P59768']]
8DPG: [['P28335', 'P62873'], ['P28335', 'P59768'], ['P62873', 'P59768']]
8DPH: [['P28335', 'P62873'], ['P28335', 'P59768'], ['P62873', 'P59768']]
8DPI: [['P28335', 'P62873'], ['P28335', 'P59768'], ['P62873', 'P59768']]
8DU4: [['P61964', 'Q15291'], ['P61964', 'P0CG47'], ['Q15291', 'P0CG47']]
8DWC: [['P62873', 'P59768'], ['P62873', 'Q96LB2'], ['P59768', 'Q96LB2']]
8DWG: [['P62873', 'P59768'], ['P62873', 'Q96LB2'], ['P59768', 'Q96LB2']]
8DWH: [['P62873', 'P59768'], ['P62873', 'Q96LB2'], ['P59768', 'Q96LB2']]
8DZR: [['P41145', 'P62873'], ['P41145', 'P59768'], ['P62873', 'P59768']]
8E3I: [['Q10570', 'O95639'], ['Q10570', 'Q9C0J8'], ['O95639', 'Q9C0J8']]
8E3Q: [['Q10570', 'O95639'], ['Q10570', 'Q9C0J8'], ['O95639', 'Q9C0J8']]
8E+059: [['P54284', 'Q01668'], ['P54284', 'P54289'], ['Q01668', 'P54289']]
8E5A: [['Q01668', 'P54289'], ['Q01668', 'P54284'], ['P54289', 'P54284']]
8E5B: [['Q01668', 'P54289'], ['Q01668', 'P54284'], ['P54289', 'P54284']]
8E+099: [['Q05586', 'Q12879'], ['Q05586', 'Q14957'], ['Q12879', 'Q14957']]
8E9W: [['P62873', 'P59768'], ['P62873', 'P20309'], ['P59768', 'P20309']]
8E9Y: [['P20309', 'P62873'], ['P20309', 'P59768'], ['P62873', 'P59768']]
8E9Z: [['P20309', 'P62873'], ['P20309', 'P59768'], ['P62873', 'P59768']]
8EAZ: [['Q9BYM8', 'P68036'], ['Q9BYM8', 'P0CG48'], ['P68036', 'P0CG48']]
8EB0: [['Q9NWF9', 'P68036'], ['Q9NWF9', 'P0CG48'], ['P68036', 'P0CG48']]
8EBN: [['Q9Y2U9', 'Q15370'], ['Q9Y2U9', 'Q15369'], ['Q15370', 'Q15369']]
8EFL: [['P35372', 'P63096'], ['P35372', 'P59768'], ['P63096', 'P59768']]
8EI3: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
8EJC: [['P59768', 'P62873'], ['P59768', 'O14842'], ['P62873', 'O14842']]
8EJK: [['P62873', 'P59768'], ['P62873', 'O14842'], ['P59768', 'O14842']]
8EMW: [['Q01970', 'P62873'], ['Q01970', 'P59768'], ['P62873', 'P59768']]
8EMX: [['Q01970', 'P62873'], ['Q01970', 'P59768'], ['P62873', 'P59768']]
8ENT: [['P31785', 'Q9HBE4'], ['P31785', 'Q9HBE5'], ['Q9HBE4', 'Q9HBE5']]
8ENU: [['P01024', 'P01024'], ['P01024', 'P00751'], ['P01024', 'P00751']]
8EPL: [['Q15878', 'P54284'], ['Q15878', 'P54289'], ['P54284', 'P54289']]
8EV1: [['P03372', 'P03372'], ['P03372', 'Q15596'], ['P03372', 'Q15596']]
8F1F: [['P0CG47', 'P0CG47'], ['P0CG47', 'P0CG47'], ['P0CG47', 'P0CG47']]
8F7Q: [['P35372', 'P01189'], ['P35372', 'P63096'], ['P01189', 'P63096']]
8F7W: [['P01213', 'P41145'], ['P01213', 'P63096'], ['P41145', 'P63096']]
8F7X: [['P41146', 'Q13519'], ['P41146', 'P63096'], ['Q13519', 'P63096']]
8FFV: [['P07900', 'P04150'], ['P07900', 'Q02790'], ['P04150', 'Q02790']]
8FFW: [['P07900', 'P04150'], ['P07900', 'Q13451'], ['P04150', 'Q13451']]
8FW5: [['O75140', 'Q8WTW4'], ['O75140', 'Q12980'], ['Q8WTW4', 'Q12980']]
8FX5: [['P08173', 'P62873'], ['P08173', 'P59768'], ['P62873', 'P59768']]
8FY3: [['A5YKK6', 'Q9H9A5'], ['A5YKK6', 'B3KNB0'], ['Q9H9A5', 'B3KNB0']]
8G0L: [['P61599', 'Q14CX7'], ['P61599', 'P37840'], ['Q14CX7', 'P37840']]
8G1A: [['Q15858', 'Q07699'], ['Q15858', 'O60939'], ['Q07699', 'O60939']]
8G1U: [['O14744', 'Q9BQA1'], ['O14744', 'P83369'], ['Q9BQA1', 'P83369']]
8G2Y: [['P62873', 'P59768'], ['P62873', 'Q5T601'], ['P59768', 'Q5T601']]
8G57: [['Q8N6T7', 'P04908'], ['Q8N6T7', 'P06899'], ['P04908', 'P06899']]
8GQ6: [['Q8IY47', 'P62877'], ['Q8IY47', 'Q13618'], ['P62877', 'Q13618']]
8GS5: [['P50213', 'P51553'], ['P50213', 'O43837'], ['P51553', 'O43837']]
8GUY: [['P06213', 'P01308'], ['P06213', 'F8WCM5'], ['P01308', 'F8WCM5']]
8GZ1: [['Q07699', 'Q9UQD0'], ['Q07699', 'O60939'], ['Q9UQD0', 'O60939']]
8GZ2: [['Q9UQD0', 'O60939'], ['Q9UQD0', 'Q07699'], ['O60939', 'Q07699']]
8H0P: [['P28336', 'P62873'], ['P28336', 'P59768'], ['P62873', 'P59768']]
8H0Q: [['P30550', 'P62873'], ['P30550', 'P59768'], ['P62873', 'P59768']]
8H33: [['Q8IY47', 'P62877'], ['Q8IY47', 'Q13618'], ['P62877', 'Q13618']]
8H34: [['Q13618', 'Q8IY47'], ['Q13618', 'P62877'], ['Q8IY47', 'P62877']]
8H35: [['Q13618', 'Q8IY47'], ['Q13618', 'P62877'], ['Q8IY47', 'P62877']]
8H3Q: [['Q86VP6', 'Q13618'], ['Q86VP6', 'P62877'], ['Q13618', 'P62877']]
8H3R: [['P62877', 'Q13618'], ['P62877', 'Q8IY47'], ['Q13618', 'Q8IY47']]
8H3S: [['P98073', 'P07477'], ['P98073', 'P98073'], ['P07477', 'P98073']]
8H4I: [['P62873', 'P59768'], ['P62873', 'Q5NUL3'], ['P59768', 'Q5NUL3']]
8H4K: [['P62873', 'P59768'], ['P62873', 'Q5NUL3'], ['P59768', 'Q5NUL3']]
8H4L: [['P62873', 'P59768'], ['P62873', 'Q5NUL3'], ['P59768', 'Q5NUL3']]
8H9G: [['P24539', 'P18859'], ['P24539', 'O75947'], ['P18859', 'O75947']]
8H9K: [['O75947', 'P24539'], ['O75947', 'P18859'], ['P24539', 'P18859']]
8H9N: [['P24539', 'P18859'], ['P24539', 'O75947'], ['P18859', 'O75947']]
8H9R: [['P24539', 'P18859'], ['P24539', 'O75947'], ['P18859', 'O75947']]
8HC0: [['Q5T601', 'Q5T601'], ['Q5T601', 'Q5T601'], ['Q5T601', 'Q5T601']]
8HE5: [['P62805', 'P04908'], ['P62805', 'P06899'], ['P04908', 'P06899']]
8HGO: [['P04626', 'P00533'], ['P04626', 'P01133'], ['P00533', 'P01133']]
8HGP: [['P04626', 'P00533'], ['P04626', 'O14944'], ['P00533', 'O14944']]
8HK2: [['P63096', 'P01024'], ['P63096', 'Q16581'], ['P01024', 'Q16581']]
8HK5: [['P21730', 'P01031'], ['P21730', 'P63096'], ['P01031', 'P63096']]
8HPT: [['P09471', 'P62873'], ['P09471', 'P59768'], ['P62873', 'P59768']]
8HQE: [['P62873', 'P59768'], ['P62873', 'P63096'], ['P59768', 'P63096']]
8HQM: [['P62873', 'P59768'], ['P62873', 'P63096'], ['P59768', 'P63096']]
8HQN: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
8HS3: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
8HSC: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
8HVI: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
8I17: [['P04908', 'P06899'], ['P04908', 'Q9Y5B9'], ['P06899', 'Q9Y5B9']]
8I5B: [['Q15858', 'Q07699'], ['Q15858', 'O60939'], ['Q07699', 'O60939']]
8I5E: [['U5YJJ6', 'P61769'], ['U5YJJ6', 'P01116'], ['P61769', 'P01116']]
8I5G: [['Q07699', 'O60939'], ['Q07699', 'Q15858'], ['O60939', 'Q15858']]
8I5X: [['Q15858', 'Q07699'], ['Q15858', 'O60939'], ['Q07699', 'O60939']]
8I5Y: [['Q15858', 'Q07699'], ['Q15858', 'O60939'], ['Q07699', 'O60939']]
8I9A: [['P62873', 'P59768'], ['P62873', 'Q16581'], ['P59768', 'Q16581']]
8IBV: [['P12872', 'P62873'], ['P12872', 'P59768'], ['P62873', 'P59768']]
8INR: [['P63092', ' P63096'], ['P63092', 'P62873'], [' P63096', 'P62873']]
8IOC: [['P63092', ' P63096'], ['P63092', 'P62873'], [' P63096', 'P62873']]
8IOD: [['P63092', ' P63096'], ['P63092', 'P62873'], [' P63096', 'P62873']]
8IRR: [['P62873', 'P21728'], ['P62873', 'P59768'], ['P21728', 'P59768']]
8IRS: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
8IRT: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
8IUK: [['P62873', 'P59768'], ['P62873', 'P43088'], ['P59768', 'P43088']]
8IUL: [['P62873', 'P59768'], ['P62873', 'P43088'], ['P59768', 'P43088']]
8IUM: [['P62873', 'P59768'], ['P62873', 'P43088'], ['P59768', 'P43088']]
8JR9: [['P62873', 'P59768'], ['P62873', 'Q03431'], ['P59768', 'Q03431']]
8KB5: [['P62805', 'P04908'], ['P62805', 'P06899'], ['P04908', 'P06899']]
8OEW: [['Q14241', 'Q15369'], ['Q14241', 'Q15370'], ['Q15369', 'Q15370']]
8ORM: [['P51948', 'P51946'], ['P51948', 'P50613'], ['P51946', 'P50613']]
8OV6: [['Q16531', 'Q9NXF7'], ['Q16531', 'O60885'], ['Q9NXF7', 'O60885']]
8P0F: [['P40337', 'Q15369'], ['P40337', 'Q15370'], ['Q15369', 'Q15370']]
8P2K: [['P53582', 'Q13765'], ['P53582', 'A0A7I2YQL2'], ['Q13765', 'A0A7I2YQL2']]
8P4C: [['P63272', 'O00267'], ['P63272', 'O60942'], ['O00267', 'O60942']]
8P4D: [['O60942', 'P63272'], ['O60942', 'O00267'], ['P63272', 'O00267']]
8P4E: [['O00267', 'Q8N1G2'], ['O00267', 'O60942'], ['Q8N1G2', 'O60942']]
8P4F: [['P63272', 'O00267'], ['P63272', 'Q8N1G2'], ['O00267', 'Q8N1G2']]
8P6V: [['P51948', 'P51946'], ['P51948', 'P50613'], ['P51946', 'P50613']]
8P6Y: [['P51948', 'P50613'], ['P51948', 'P51946'], ['P50613', 'P51946']]
8S9B: [['Q15858', 'Q07699'], ['Q15858', 'O60939'], ['Q07699', 'O60939']]
8S9C: [['Q15858', 'Q07699'], ['Q15858', 'O60939'], ['Q07699', 'O60939']]
8S9P: [['O00468', 'O75096'], ['O00468', 'O15146'], ['O75096', 'O15146']]
8SE9: [['P41226', 'P05161'], ['P41226', 'O14933'], ['P05161', 'O14933']]
8SEA: [['P41226', 'P05161'], ['P41226', 'O14933'], ['P05161', 'O14933']]
8SEB: [['P41226', 'P05161'], ['P41226', 'O14933'], ['P05161', 'O14933']]
8SGO: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
8SI9: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
8SID: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
8SKV: [['P01876', 'P01833'], ['P01876', 'P01591'], ['P01833', 'P01591']]
8SOI: [['Q8TDY2', 'O75385'], ['Q8TDY2', 'O75143'], ['O75385', 'O75143']]
8SOK: [['Q9H668', 'Q86WV5'], ['Q9H668', 'Q9NUX5'], ['Q86WV5', 'Q9NUX5']]
8SQZ: [['Q8TDY2', 'O75385'], ['Q8TDY2', 'O75143'], ['O75385', 'O75143']]
8SRM: [['Q8TDY2', 'O75385'], ['Q8TDY2', 'O75143'], ['O75385', 'O75143']]
8SV8: [['P41226', 'P05161'], ['P41226', 'O14933'], ['P05161', 'O14933']]
8SYN: [['Q7Z3J2', 'Q9UBQ0'], ['Q7Z3J2', 'O14972'], ['Q9UBQ0', 'O14972']]
8SYO: [['Q7Z3J2', 'Q9UBQ0'], ['Q7Z3J2', 'O14972'], ['Q9UBQ0', 'O14972']]
8TWI: [['P30153', 'P67775'], ['P30153', 'Q96E09'], ['P67775', 'Q96E09']]
8TZO: [['O00755', 'Q5T9L3'], ['O00755', 'P27797'], ['Q5T9L3', 'P27797']]
8TZP: [['O00755', 'Q5T9L3'], ['O00755', 'O95980'], ['Q5T9L3', 'O95980']]
8TZR: [['P56704', 'Q5T9L3'], ['P56704', 'P27797'], ['Q5T9L3', 'P27797']]
8U7Z: [['P62873', 'P59768'], ['P62873', 'Q9NXV2'], ['P59768', 'Q9NXV2']]
